Key,Chinese (Traditional)(zh-TW)
破舊紙箱.Talk01,每次擊倒新的敵人，你都會變得更強大！
破舊紙箱.Talk02,擊倒我後，就可以挑戰下一個敵人…
破舊紙箱.Talk03,擊倒我後，開啟蕃茄鐘模式
流浪鼠妖.Talk01,我上次在街道排徊時，好像有看到「卡片」？
流浪鼠妖.Talk02,為什麼我看不到你，但你的一舉一動都會造成我的傷害？
流浪鼠妖.Talk03,每安排在第一區的我，看來只是個教學怪…
流浪鼠妖.Talk04,蕃茄鐘模式？開啟後似乎不會對我們造成傷害，嘿嘿嘿。
流浪鼠妖.Talk05,什麼？你說蕃茄鐘模式結束後，會對我造成大傷害？
流浪鼠妖.Talk06,我甚至不知道你長什麼樣子，你就一直打我！
流浪鼠妖.Talk07,…生為鼠輩的我，可是不相信鬼！
流浪鼠妖.Talk08,什…？你說你打贏了搶食烏鴉？那傢伙總是搶我東西…活該！
流浪鼠妖.Talk09,這條街上有一隻獨眼魔王，遇到他你就完了！
流浪鼠妖.Talk10,你打贏獨眼魔王了？怎麼可能！？
搶食烏鴉.Talk01,嘿嘿，那隻鼠又被打飛了嗎？牠的皮可真值錢。
搶食烏鴉.Talk02,我叼著的可是寶物，不是給你看的！
搶食烏鴉.Talk03,燈光太亮了！別照著我！
搶食烏鴉.Talk04,你敢偷我的鈴鐺？這可是我的戰利品！
搶食烏鴉.Talk05,喂，小貓，你連水坑都走不穩吧？哈哈哈！
搶食烏鴉.Talk06,那隻幽犬還在嚎？牠聽不懂活著的快樂。
搶食烏鴉.Talk07,我從來不輸給老鼠，只輸給命運。
搶食烏鴉.Talk08,看來你不只是偷東西的本事厲害啊…
搶食烏鴉.Talk09,獨眼的那隻貓？我欠牠一條命，但牠也欠我一個秘密。
搶食烏鴉.Talk10,鈴鐺碎了…那聲音，再也回不來了。
惡犬幽靈.Talk01,這條巷子…曾是我的領地。
惡犬幽靈.Talk02,你的腳步聲…讓我想起主人的呼喚。
惡犬幽靈.Talk03,別靠近那盞燈…那光會讓我想起死亡。
惡犬幽靈.Talk04,為何你能傷到我？我早已死去。
惡犬幽靈.Talk05,那隻掃帚…還在清理我的墓地嗎？
惡犬幽靈.Talk06,我嗅到…狸貓的氣味。牠回來了？
惡犬幽靈.Talk07,你的眼神…像極了牠。
惡犬幽靈.Talk08,別以為勝利能驅散恐懼…
